,tractvec
2524,40505
2525,10307
2526,40509
2527,40700
2528,100
2529,40700
2530,10307
2531,901
2532,802
2533,400
2534,40505
2535,10303
2536,10308
2537,602
2538,40509
2539,40504
2540,40506
2541,904
2542,40504
2543,40504
2544,10303
2545,901
2546,40506
2547,40505
2548,10307
2549,40501
2550,40509
2551,801
2552,40509
2553,904
2554,40509
2555,40509
2556,602
2557,40509
2558,40509
2559,40501
2560,400
2561,10306
2562,901
2563,40504
2564,602
2565,903
2566,40501
2567,802
2568,40501
2569,903
2570,100
2571,40501
2572,903
2573,1003
2574,40509
2575,40509
2576,40506
2577,40506
2578,400
2579,802
2580,40506
2581,40505
2582,10306
2583,501
2584,40504
2585,801
2586,40505
2587,40501
2588,602
2589,400
2590,10308
2591,204
2592,1003
2593,802
2594,901
2595,801
2596,40504
2597,801
2598,801
2599,802
2600,10303
2601,10308
2602,100
2603,204
2604,1003
2605,100
2606,40506
2607,1003
2608,40509
2609,40506
2610,10303
2611,904
2612,40509
2613,40509
2614,601
2615,40700
2616,40504
2617,601
2618,40506
2619,10303
2620,10303
2621,10303
2622,40509
2623,10306
2624,400
2625,100
2626,40504
2627,40509
2628,40509
2629,901
2630,40509
2631,400
2632,40501
2633,40504
2634,901
2635,1004
2636,602
2637,400
2638,400
2639,40509
2640,903
2641,100
2642,10303
2643,801
2644,10307
2645,10303
2646,901
2647,40509
2648,40509
2649,601
2650,40509
2651,40505
2652,40509
2653,40501
2654,40501
2655,40501
2656,40509
2657,502
2658,40505
2659,40504
2660,40509
2661,40505
2662,10308
2663,203
